[INFO] main.py:39 > Namespace(agem_batch=240, batchsize=16, binary=False, data_dir=None, dataset='cifar10', debug=False, distilling=True, eval_period=100, gpu_transform=True, imp_update_period=1, init_model=False, init_opt=False, log_path='results', lr=0.0003, lr_length=10, lr_period=10, lr_step=0.95, m=10, memory_epoch=256, memory_size=500, mir_cands=50, mode='clib', model_name='resnet18', n=50, n_tasks=5, n_worker=0, note='clib', num_gpus=1, online_iter=1.0, opt_name='adam', reg_coef=100, rnd_seed=1, sched_name='default', temp_batchsize=None, topk=1, transforms=['cutmix', 'autoaug'], use_amp=True, workers_per_gpu=1)
[INFO] main.py:48 > Set the device (cuda)
[INFO] main.py:94 > Using train-transforms Compose(
    RandomCrop(size=(32, 32), padding=4)
    RandomHorizontalFlip(p=0.5)
    AutoAugment(policy=AutoAugmentPolicy.CIFAR10, fill=None)
    ConvertImageDtype()
    Normalize(mean=(0.4914, 0.4822, 0.4465), std=(0.2023, 0.1994, 0.201))
)
[INFO] main.py:104 > [1] Select a CIL method (clib)
-------binary False
[INFO] main.py:110 > [2] Incrementally training 5 tasks

##################################################
# Task 0 iteration
##################################################

[INFO] main.py:123 > [2-1] Prepare a datalist for the current task
[INFO] er_baseline.py:202 > Train | Sample # 184 | train_loss 1.2021 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:15 | ETA 1:10:33
[INFO] er_baseline.py:202 > Train | Sample # 186 | train_loss 0.8720 | train_acc 0.4688 | lr 0.000285 | running_time 0:00:15 | ETA 1:10:27
[INFO] er_baseline.py:202 > Train | Sample # 188 | train_loss 0.8112 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:15 | ETA 1:10:27
[INFO] er_baseline.py:202 > Train | Sample # 190 | train_loss 0.7088 | train_acc 0.7188 | lr 0.000285 | running_time 0:00:16 | ETA 1:10:28
[INFO] er_baseline.py:202 > Train | Sample # 192 | train_loss 0.7402 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:16 | ETA 1:10:22
[INFO] er_baseline.py:202 > Train | Sample # 194 | train_loss 0.8361 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:16 | ETA 1:10:22
[INFO] er_baseline.py:202 > Train | Sample # 196 | train_loss 1.0419 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:16 | ETA 1:10:15
[INFO] er_baseline.py:202 > Train | Sample # 198 | train_loss 0.9506 | train_acc 0.4375 | lr 0.000285 | running_time 0:00:16 | ETA 1:10:07
[INFO] er_baseline.py:202 > Train | Sample # 200 | train_loss 0.7690 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:16 | ETA 1:10:09
[INFO] er_baseline.py:212 > Test | Sample # 200 | test_loss 3.0459 | test_acc 0.2048 | 
[INFO] er_baseline.py:202 > Train | Sample # 202 | train_loss 0.6752 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:20 | ETA 1:24:22
[INFO] er_baseline.py:202 > Train | Sample # 204 | train_loss 0.7528 | train_acc 0.4688 | lr 0.000300 | running_time 0:00:20 | ETA 1:24:07
[INFO] er_baseline.py:202 > Train | Sample # 206 | train_loss 1.0950 | train_acc 0.4062 | lr 0.000300 | running_time 0:00:20 | ETA 1:24:05
[INFO] er_baseline.py:202 > Train | Sample # 208 | train_loss 1.1373 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:21 | ETA 1:23:52
[INFO] er_baseline.py:202 > Train | Sample # 210 | train_loss 1.0223 | train_acc 0.6250 | lr 0.000300 | running_time 0:00:21 | ETA 1:23:45
[INFO] er_baseline.py:202 > Train | Sample # 212 | train_loss 0.6825 | train_acc 0.6875 | lr 0.000300 | running_time 0:00:21 | ETA 1:23:32
[INFO] er_baseline.py:202 > Train | Sample # 214 | train_loss 1.0569 | train_acc 0.5625 | lr 0.000300 | running_time 0:00:21 | ETA 1:23:26
[INFO] er_baseline.py:202 > Train | Sample # 216 | train_loss 1.2808 | train_acc 0.4688 | lr 0.000300 | running_time 0:00:21 | ETA 1:23:22
[INFO] er_baseline.py:202 > Train | Sample # 218 | train_loss 1.2883 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:21 | ETA 1:23:10
[INFO] er_baseline.py:202 > Train | Sample # 220 | train_loss 0.8539 | train_acc 0.7188 | lr 0.000300 | running_time 0:00:21 | ETA 1:22:57
[INFO] er_baseline.py:202 > Train | Sample # 222 | train_loss 1.0844 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:22 | ETA 1:22:52
[INFO] er_baseline.py:202 > Train | Sample # 224 | train_loss 1.2333 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:22 | ETA 1:22:41
[INFO] er_baseline.py:202 > Train | Sample # 226 | train_loss 1.1380 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:22 | ETA 1:22:36
[INFO] er_baseline.py:202 > Train | Sample # 228 | train_loss 1.1950 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:22 | ETA 1:22:32
[INFO] er_baseline.py:202 > Train | Sample # 230 | train_loss 0.7812 | train_acc 0.6875 | lr 0.000285 | running_time 0:00:22 | ETA 1:22:20
[INFO] er_baseline.py:202 > Train | Sample # 232 | train_loss 0.9354 | train_acc 0.5625 | lr 0.000285 | running_time 0:00:23 | ETA 1:22:17
[INFO] er_baseline.py:202 > Train | Sample # 234 | train_loss 1.0250 | train_acc 0.5938 | lr 0.000285 | running_time 0:00:23 | ETA 1:22:05
[INFO] er_baseline.py:202 > Train | Sample # 236 | train_loss 0.8507 | train_acc 0.4062 | lr 0.000285 | running_time 0:00:23 | ETA 1:22:04
[INFO] er_baseline.py:202 > Train | Sample # 238 | train_loss 0.9232 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:23 | ETA 1:21:51
[INFO] er_baseline.py:202 > Train | Sample # 240 | train_loss 0.9408 | train_acc 0.5000 | lr 0.000285 | running_time 0:00:23 | ETA 1:21:49
[INFO] er_baseline.py:202 > Train | Sample # 242 | train_loss 0.7608 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:23 | ETA 1:21:38
[INFO] er_baseline.py:202 > Train | Sample # 244 | train_loss 0.6659 | train_acc 0.7500 | lr 0.000300 | running_time 0:00:23 | ETA 1:21:33
[INFO] er_baseline.py:202 > Train | Sample # 246 | train_loss 0.6953 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:24 | ETA 1:21:31
[INFO] er_baseline.py:202 > Train | Sample # 248 | train_loss 1.0651 | train_acc 0.4062 | lr 0.000300 | running_time 0:00:24 | ETA 1:21:20
[INFO] er_baseline.py:202 > Train | Sample # 250 | train_loss 1.0491 | train_acc 0.5000 | lr 0.000300 | running_time 0:00:24 | ETA 1:21:17
[INFO] er_baseline.py:202 > Train | Sample # 252 | train_loss 0.7962 | train_acc 0.6562 | lr 0.000300 | running_time 0:00:24 | ETA 1:21:06
[INFO] er_baseline.py:202 > Train | Sample # 254 | train_loss 1.0250 | train_acc 0.4688 | lr 0.000300 | running_time 0:00:24 | ETA 1:21:05
[INFO] er_baseline.py:202 > Train | Sample # 256 | train_loss 0.7195 | train_acc 0.7188 | lr 0.000300 | running_time 0:00:24 | ETA 1:20:54
[INFO] er_baseline.py:202 > Train | Sample # 258 | train_loss 1.0247 | train_acc 0.4688 | lr 0.000300 | running_time 0:00:25 | ETA 1:20:54
[INFO] er_baseline.py:202 > Train | Sample # 260 | train_loss 0.6831 | train_acc 0.5938 | lr 0.000300 | running_time 0:00:25 | ETA 1:20:46
[INFO] er_baseline.py:202 > Train | Sample # 262 | train_loss 1.2843 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:25 | ETA 1:20:43
[INFO] er_baseline.py:202 > Train | Sample # 264 | train_loss 0.8394 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:25 | ETA 1:20:44
[INFO] er_baseline.py:202 > Train | Sample # 266 | train_loss 0.9490 | train_acc 0.5312 | lr 0.000285 | running_time 0:00:25 | ETA 1:20:35
[INFO] er_baseline.py:202 > Train | Sample # 268 | train_loss 0.8973 | train_acc 0.6250 | lr 0.000285 | running_time 0:00:26 | ETA 1:20:35
[INFO] er_baseline.py:202 > Train | Sample # 270 | train_loss 0.9151 | train_acc 0.6562 | lr 0.000285 | running_time 0:00:26 | ETA 1:20:28
